east,north,elev_m,serial,name,type,disposition,acres,status
285735.87,4698744.58,1500.5,ID103376008,THOR STONE CO 196950,L,Closed,,CLOSED
233824.60,4668538.06,2408.6,ID103520430,MP #1,L,Closed,,CLOSED
233824.60,4668538.06,2408.6,ID103341187,MP #2,L,Closed,,CLOSED
233824.60,4668538.06,2408.6,ID103453184,MP #3,L,Closed,,CLOSED
233824.60,4668538.06,2408.6,ID103229925,MP #4,L,Closed,,CLOSED
232371.33,4672693.35,2095.6,ID103307144,TF #1,L,Closed,,CLOSED
232371.33,4672693.35,2095.6,ID103402926,TF #2,L,Closed,,CLOSED
232367.24,4672215.30,2186.9,ID103245908,TF #3,L,Closed,,CLOSED
232818.67,4672707.50,2162.5,ID103300873,TF #4,L,Closed,,CLOSED
235833.67,4667251.52,2290.7,ID103446200,RB #1,L,Closed,,CLOSED
235788.46,4667702.47,2290.6,ID103369846,RB #2,L,Closed,,CLOSED
236175.92,4666838.38,2195.3,ID103414957,RB #3,L,Closed,,CLOSED
236590.23,4667223.23,2174.8,ID103325234,RB #4,L,Closed,,CLOSED
239374.51,4666769.57,1934.0,ID102921058,BG #1,L,Closed,,CLOSED
239374.51,4666769.57,1934.0,ID103081225,BG #2,L,Closed,,CLOSED
239432.62,4666302.61,2004.2,ID103293816,BG #3,L,Closed,,CLOSED
239432.62,4666302.61,2004.2,ID103117405,BG #4,L,Closed,,CLOSED
244161.06,4665833.87,1957.9,ID103017798,BRUCE RIDGE #1,L,Closed,,CLOSED
244161.06,4665833.87,1957.9,ID103084168,BRUCE RIDGE #2,L,Closed,,CLOSED
232825.56,4682249.11,1698.8,ID103113259,HIR #1,L,Closed,,CLOSED
232825.56,4682249.11,1698.8,ID103325426,HIR #2,L,Closed,,CLOSED
231935.37,4682328.62,1668.3,ID103478649,HIR #3,L,Closed,,CLOSED
231935.37,4682328.62,1668.3,ID103518230,HIR #4,L,Closed,,CLOSED
231610.06,4683178.48,1644.1,ID103474667,HIR #5,L,Closed,,CLOSED
231691.11,4682812.83,1687.7,ID103458547,HIR #6,L,Closed,,CLOSED
231610.06,4683178.48,1644.1,ID103225504,HIR #7,L,Closed,,CLOSED
231250.78,4683116.60,1688.9,ID103286810,HIR #8,L,Closed,,CLOSED
236031.57,4671276.38,2235.0,ID103293689,TRAP #2,L,Closed,,CLOSED
235582.23,4671276.55,2316.3,ID103284603,TRAP #3,L,Closed,,CLOSED
235568.30,4670883.40,2326.0,ID103322637,TRAP #4,L,Closed,,CLOSED
236032.42,4670879.35,2226.9,ID103402796,TRAP #5,L,Closed,,CLOSED
236915.80,4664783.54,2189.7,ID103062046,TC #1,L,Closed,,CLOSED
237750.42,4664753.60,2154.3,ID103013842,TC #2,L,Closed,,CLOSED
236915.80,4664783.54,2189.7,ID103478196,TC #3,L,Closed,,CLOSED
237736.11,4664368.27,2084.9,ID103279239,TC #4,L,Closed,,CLOSED
236887.39,4664398.72,2157.0,ID103142413,TC #5,L,Closed,,CLOSED
237736.11,4664368.27,2084.9,ID103327054,TC #6,L,Closed,,CLOSED
236887.39,4664398.72,2157.0,ID103452237,TC #7,L,Closed,,CLOSED
237736.11,4664368.27,2084.9,ID103283128,TC #8,L,Closed,,CLOSED
236887.39,4664398.72,2157.0,ID103248093,TC #9,L,Closed,,CLOSED
237736.11,4664368.27,2084.9,ID103118865,TC #10,L,Closed,,CLOSED
236857.44,4663594.73,2065.3,ID103463991,TC #11,L,Closed,,CLOSED
237660.75,4663565.97,2055.2,ID103284885,TC #12,L,Closed,,CLOSED
236857.44,4663594.73,2065.3,ID103143382,TC #13,L,Closed,,CLOSED
237660.75,4663565.97,2055.2,ID103326916,TC #14,L,Closed,,CLOSED
236857.44,4663594.73,2065.3,ID103405932,TC #15,L,Closed,,CLOSED
237660.75,4663565.97,2055.2,ID103310310,TC #16,L,Closed,,CLOSED
236857.44,4663594.73,2065.3,ID103368827,TC #17,L,Closed,,CLOSED
237660.75,4663565.97,2055.2,ID103362613,TC #18,L,Closed,,CLOSED
236856.24,4663206.68,1916.1,ID101684581,TC #19,L,Closed,,CLOSED
237689.88,4663145.66,2000.2,ID103299838,TC #20,L,Closed,,CLOSED
236828.36,4662836.31,1929.0,ID103229965,TC #21,L,Closed,,CLOSED
237675.58,4662760.32,2015.5,ID103284688,TC #22,L,Closed,,CLOSED
236828.36,4662836.31,1929.0,ID103370807,TC #23,L,Closed,,CLOSED
237675.58,4662760.32,2015.5,ID103465553,TC #24,L,Closed,,CLOSED
236828.36,4662836.31,1929.0,ID103409092,TC #25,L,Closed,,CLOSED
237675.58,4662760.32,2015.5,ID103365300,TC #26,L,Closed,,CLOSED
236826.34,4662403.81,1914.2,ID101683892,TC #27,L,Closed,,CLOSED
