east,north,elev_m,serial,name,type,disposition,acres,status
332515.08,4662566.62,1754.9,ID101474904,MG 146,L,Active,20.66,ACTIVE
332450.78,4663030.32,1769.2,ID101474905,MG 147,L,Active,20.66,ACTIVE
332450.78,4663030.32,1769.2,ID101474906,MG 148,L,Active,20.66,ACTIVE
332450.78,4663030.32,1769.2,ID101474907,MG 149,L,Active,20.66,ACTIVE
332450.78,4663030.32,1769.2,ID101474908,MG 150,L,Active,20.66,ACTIVE
332513.42,4663787.65,1755.0,ID101474909,MG 151,L,Active,20.66,ACTIVE
332513.42,4663787.65,1755.0,ID101474910,MG 152,L,Active,20.66,ACTIVE
332513.42,4663787.65,1755.0,ID101474911,MG 153,L,Active,20.66,ACTIVE
332515.08,4662566.62,1754.9,ID101474912,MG 154,L,Active,20.66,ACTIVE
332450.78,4663030.32,1769.2,ID101474913,MG 155,L,Active,20.66,ACTIVE
332450.78,4663030.32,1769.2,ID101474914,MG 156,L,Active,20.66,ACTIVE
327498.96,4657643.20,1761.8,ID101887410,MG 157,L,Active,20.66,ACTIVE
327516.07,4658447.17,1820.6,ID101887411,MG 158,L,Active,20.66,ACTIVE
327516.07,4658447.17,1820.6,ID101887412,MG 159,L,Active,20.66,ACTIVE
327516.07,4658447.17,1820.6,ID101887413,MG 160,L,Active,20.66,ACTIVE
327516.07,4658447.17,1820.6,ID101887414,MG 161,L,Active,20.66,ACTIVE
327537.76,4658793.28,1817.3,ID101887415,MG 162,L,Active,20.66,ACTIVE
327577.35,4659194.51,1875.1,ID101887416,MG 163,L,Active,20.66,ACTIVE
327577.35,4659194.51,1875.1,ID101887417,MG 164,L,Active,20.66,ACTIVE
327585.90,4659545.39,1856.0,ID101887418,MG 165,L,Active,20.66,ACTIVE
327595.61,4659977.35,1902.4,ID101887419,MG 166,L,Active,20.66,ACTIVE
327595.61,4659977.35,1902.4,ID101887420,MG 167,L,Active,20.66,ACTIVE
327595.61,4659977.35,1902.4,ID101887421,MG 168,L,Active,20.66,ACTIVE
327595.61,4659977.35,1902.4,ID101888222,MG 169,L,Active,20.66,ACTIVE
327635.73,4660333.02,1842.2,ID101888223,MG 170,L,Active,20.66,ACTIVE
327568.35,4660692.42,1914.8,ID101888224,MG 171,L,Active,20.66,ACTIVE
327568.35,4660692.42,1914.8,ID101888225,MG 172,L,Active,20.66,ACTIVE
327568.35,4660692.42,1914.8,ID101888226,MG 173,L,Active,20.66,ACTIVE
327591.81,4661077.37,1965.0,ID101888227,MG 174,L,Active,20.66,ACTIVE
327589.87,4661540.73,2018.8,ID101888228,MG 175,L,Active,20.66,ACTIVE
327589.87,4661540.73,2018.8,ID101888229,MG 176,L,Active,20.66,ACTIVE
327589.87,4661540.73,2018.8,ID101888230,MG 177,L,Active,20.66,ACTIVE
327589.87,4661540.73,2018.8,ID101888231,MG 178,L,Active,20.66,ACTIVE
327612.98,4661911.25,1980.0,ID101888232,MG 179,L,Active,20.66,ACTIVE
327697.72,4662298.05,2041.4,ID101888233,MG 180,L,Active,20.66,ACTIVE
327697.72,4662298.05,2041.4,ID101888234,MG 181,L,Active,20.66,ACTIVE
327697.72,4662298.05,2041.4,ID101888235,MG 182,L,Active,20.66,ACTIVE
